datetime,id,name,geoid,geoname,value
09-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,61.70958333
10-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.69708333
11-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,59.41541667
12-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.82083333
13-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.45875
14-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,61.11333333
15-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.21125
16-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.44083333
17-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.85791667
18-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.56583333
19-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.96625
20-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.43666667
21-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,59.62083333
22-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.68541667
23-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.05333333
24-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.86
25-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.19083333
26-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.92
27-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.93791667
28-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,66.1275
29-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,66.97708333
30-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,61.30625
01-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.01916667
02-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,69.90625
03-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.45791667
04-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,47.3525
05-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.45916667
06-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.73541667
07-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.745
08-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.92541667
09-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,71.06166667
10-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.57583333
11-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,42.82833333
12-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.19291667
13-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.55791667
14-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.40625
15-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.045
16-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,42.78291667
17-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,40.90958333
18-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.75166667
19-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.175
20-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,64.98958333
21-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.07583333
22-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.89125
23-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.56625
24-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.6425
25-10-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.5572
26-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,64.12958333
27-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,60.72291667
28-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,63.49666667
29-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,63.07916667
30-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,51.41125
31-10-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,57.27208333
01-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,45.95541667
02-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,44.79416667
03-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,45.09833333
04-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,55.46166667
05-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,57.82916667
06-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,50.15125
07-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,48.79666667
08-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,48.1825
09-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,57.39625
10-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,42.655
11-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,44.94041667
12-11-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,45.49208333
